year,country,Sector Code - Calculated,DAC3 Sector Code - Calculated,Reporting Organisation Type Code,Reporting Organisation Type Name - Calculated,Recipient Code,Recipient Name,Flow Type Code - Calculated,aid_type_di_name,x_transaction_value_usd_m_Sum,purpose_name,Reporting Organisation Narrative
2018.0,Belgium,13030,130.0,10,Government,998,"Developing countries, unspecified",10.0,,3.6848582212,Family planning,Belgium
2018.0,Canada,13020,130.0,10,Government,289,"South of Sahara, regional",10.0,,1.3643656000000002,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,298,"Africa, regional",10.0,,2.145326,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,498,"America, regional",10.0,,1.219286,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,798,"Asia, regional",10.0,,1.527966,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,89,"Europe, regional",10.0,,0.601926,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,998,"Developing countries, unspecified",10.0,,0.0313651306409102,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,BD,Bangladesh,10.0,,4.210618315929126,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,BF,Burkina Faso,10.0,,1.8559385,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,BI,Burundi,10.0,,0.6335797289977584,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,BJ,Benin,10.0,,2.0563977099290254,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,BO,Bolivia (Plurinational State of),10.0,,0.04024065399835936,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,CA,Canada,10.0,,0.05483811527965012,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,CD,Congo (the Democratic Republic of the),10.0,,2.5947860811542642,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,CI,Côte d'Ivoire,10.0,,1.8489932,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,CM,Cameroon,10.0,,0.25125764742528,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,CO,Colombia,10.0,,0.2871404334994601,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,DO,Dominican Republic (the),10.0,,0.24694400000000002,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,EC,Ecuador,10.0,,0.040196433499460074,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,ET,Ethiopia,10.0,,2.3559635553748004,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,GH,Ghana,10.0,,1.4497352002514494,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,GT,Guatemala,10.0,,1.7335128226495895,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,GY,Guyana,10.0,,0.040196433499460074,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,HN,Honduras,10.0,,0.20236546505189898,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,HT,Haiti,10.0,,4.790727656221606,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,IQ,Iraq,10.0,,0.36611176607999996,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,KE,Kenya,10.0,,0.6531356232854496,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,KH,Cambodia,10.0,,0.11398606259073316,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,ML,Mali,10.0,,2.9089732838895612,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,MM,Myanmar,10.0,,0.2728750455907456,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,MW,Malawi,10.0,,0.25043089639267085,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,MZ,Mozambique,10.0,,7.324712362766286,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,NE,Niger (the),10.0,,0.26855160000000006,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,NG,Nigeria,10.0,,1.3546850992161936,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,NI,Nicaragua,10.0,,0.040196433499460074,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,PE,Peru,10.0,,0.4580972170793973,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,PH,Philippines (the),10.0,,0.6608674359624566,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,PK,Pakistan,10.0,,0.32043763886884313,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,PY,Paraguay,10.0,,0.040196433499460074,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,RW,Rwanda,10.0,,0.8592238144814646,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,SN,Senegal,10.0,,3.9180014518902166,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,SR,Suriname,10.0,,0.040196433499460074,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,SS,South Sudan,10.0,,2.0613089264015603,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,TZ,"Tanzania, United Republic of",10.0,,5.718229828150602,Reproductive health care,Canada
2018.0,Canada,13020,130.0,10,Government,ZM,Zambia,10.0,,0.31430955150000006,Reproductive health care,Canada
2018.0,Canada,13030,130.0,10,Government,289,"South of Sahara, regional",10.0,,1.4075808,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,298,"Africa, regional",10.0,,2.22896863375,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,498,"America, regional",10.0,,1.3029286337500001,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,798,"Asia, regional",10.0,,1.61160863375,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,89,"Europe, regional",10.0,,0.68556863375,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,998,"Developing countries, unspecified",10.0,,0.008890942855662764,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,BD,Bangladesh,10.0,,2.19845813646928,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,BF,Burkina Faso,10.0,,1.857302470604583,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,BI,Burundi,10.0,,0.08025135573367001,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,BJ,Benin,10.0,,0.786798889275,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,BO,Bolivia (Plurinational State of),10.0,,0.17115125299,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,CA,Canada,10.0,,0.012513631593500966,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,CD,Congo (the Democratic Republic of the),10.0,,1.811801560671364,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,CI,Côte d'Ivoire,10.0,,1.9508576000000002,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,CM,Cameroon,10.0,,0.1427645,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,CO,Colombia,10.0,,0.24694400000000002,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,DO,Dominican Republic (the),10.0,,0.24694400000000002,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,GH,Ghana,10.0,,0.7717,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,GT,Guatemala,10.0,,0.24694400000000002,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,HN,Honduras,10.0,,0.0014071312940104003,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,HT,Haiti,10.0,,1.37555525,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,ID,Indonesia,10.0,,0.671379,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,KE,Kenya,10.0,,0.379079459286766,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,MA,Morocco,10.0,,0.030868000000000003,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,ML,Mali,10.0,,1.3435470877221505,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,MM,Myanmar,10.0,,0.2827361758721314,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,MW,Malawi,10.0,,0.24694400000000002,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,MZ,Mozambique,10.0,,5.4700240792076205,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,NE,Niger (the),10.0,,0.3580688,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,NG,Nigeria,10.0,,1.68971578623,Family planning,Canada
2018.0,Canada,13030,130.0,10,Government,NP,Nepal,10.0,,0.0018563737388000005,Family planning,Canada
